x,y,errx,erry
3.25056E+19,5.776E+13,5.441E+14,15200000
2.12091E+20,3.7636E+14,3.55012E+15,38800000
5.60422E+20,9.9225E+14,9.3807E+15,63000000
1.98236E+21,3.51649E+15,3.3182E+16,118600000
7.89275E+22,1.39876E+17,1.32114E+18,748000000
4.86092E+23,8.63041E+17,8.13652E+18,1858000000
3.95948E+24,7.0225E+18,6.62763E+19,5300000000
